id,customer_name_age,is_customer,city,segment
1,Anil_NA,False,Bangalore,Retail
2,Vijay65,True,Mumbai,Retail
3,Pavan45,True,Hyderabad,Retail
4,Rahul32,True,Mumbai,Retail
5,Manoj44,True,Pune,SMB
6,Prakash18,True,Pune,Corporate
7,Prakash27,True,Chennai,Retail
8,Kiran42,True,Chennai,Corporate
9,Santosh34,True,Pune,SMB
10,Anil42,True,Mumbai,Corporate
11,Santosh41,True,Hyderabad,Retail
12,Mahesh36,True,Bangalore,Retail
13,Suresh_NA,False,Chennai,Retail
14,Rohit40,True,Chennai,SMB
15,Kiran56,True,Mumbai,SMB
16,Mahesh_NA,False,Pune,Corporate
17,Manoj_NA,False,Hyderabad,Retail
18,Ravi_NA,False,Chennai,Retail
19,Rahul_NA,False,Bangalore,SMB
20,Karthik_NA,False,Bangalore,Corporate
21,Vijay_NA,False,Mumbai,Corporate
22,Pavan_NA,False,Bangalore,Retail
23,Deepak49,True,Hyderabad,Retail
24,Vijay58,True,Pune,SMB
25,Kiran_NA,False,Mumbai,Corporate
26,Deepak34,True,Hyderabad,SMB
27,Manoj_NA,False,Hyderabad,Corporate
28,Naresh_NA,False,Hyderabad,SMB
29,Prakash50,True,Mumbai,Retail
30,Naveen58,True,Bangalore,Corporate
31,Arjun52,True,Mumbai,Corporate
32,Karthik19,True,Chennai,Corporate
33,Mahesh21,True,Mumbai,Retail
34,Kiran_NA,False,Hyderabad,SMB
35,Vijay_NA,False,Mumbai,Retail
36,Prakash_NA,False,Bangalore,SMB
37,Rahul_NA,False,Pune,SMB
38,Rohit_NA,False,Hyderabad,Retail
39,Mahesh_NA,False,Hyderabad,SMB
40,Manoj32,True,Hyderabad,Retail
41,Ravi32,True,Hyderabad,Corporate
42,Kiran50,True,Chennai,SMB
43,Karthik31,True,Mumbai,SMB
44,Karthik_NA,False,Pune,Retail
45,Anil_NA,False,Chennai,Corporate
46,Naresh47,True,Hyderabad,Retail
47,Suresh_NA,False,Hyderabad,Retail
48,Rahul_NA,False,Bangalore,Corporate
49,Arjun_NA,False,Bangalore,Retail
50,Venkatesh53,True,Hyderabad,SMB
51,Manoj18,True,Bangalore,Retail
52,Naresh_NA,False,Bangalore,Corporate
53,Ravi_NA,False,Hyderabad,Corporate
54,Prakash_NA,False,Pune,SMB
55,Manoj_NA,False,Bangalore,Retail
56,Naveen31,True,Mumbai,SMB
57,Manoj_NA,False,Hyderabad,Retail
58,Pavan48,True,Hyderabad,SMB
59,Kiran29,True,Mumbai,Retail
60,Mahesh43,True,Mumbai,Retail
61,Pavan56,True,Mumbai,Retail
62,Naresh_NA,False,Chennai,Retail
63,Amit_NA,False,Pune,Retail
64,Naveen_NA,False,Hyderabad,Retail
65,Venkatesh57,True,Hyderabad,SMB
66,Rahul_NA,False,Bangalore,Corporate
67,Kiran_NA,False,Chennai,Retail
68,Venkatesh_NA,False,Mumbai,SMB
69,Deepak_NA,False,Hyderabad,Retail
70,Prakash25,True,Mumbai,Retail
71,Prakash36,True,Chennai,Retail
72,Prakash_NA,False,Chennai,Retail
73,Kiran_NA,False,Chennai,Retail
74,Sateesh39,True,Chennai,Retail
75,Venkatesh_NA,False,Mumbai,Retail
76,Anil22,True,Mumbai,Retail
77,Rohit55,True,Pune,Retail
78,Ravi_NA,False,Hyderabad,Corporate
79,Rahul61,True,Hyderabad,Corporate
80,Manoj44,True,Bangalore,Retail
81,Arjun44,True,Bangalore,SMB
82,Amit44,True,Chennai,Retail
83,Anil42,True,Pune,Retail
84,Rahul_NA,False,Chennai,Retail
85,Mahesh19,True,Pune,Corporate
86,Prakash_NA,False,Chennai,SMB
87,Deepak_NA,False,Hyderabad,Retail
88,Prakash_NA,False,Hyderabad,Retail
89,Santosh_NA,False,Chennai,Corporate
90,Santosh50,True,Pune,SMB
91,Rahul34,True,Pune,Retail
92,Deepak52,True,Chennai,Corporate
93,Kiran_NA,False,Mumbai,Corporate
94,Anil_NA,False,Mumbai,Corporate
95,Naresh_NA,False,Chennai,SMB
96,Vijay_NA,False,Pune,SMB
97,Arjun_NA,False,Pune,SMB
98,Sateesh_NA,False,Bangalore,Corporate
99,Pavan_NA,False,Pune,Corporate
100,Venkatesh61,True,Mumbai,Corporate
101,Arjun60,True,Chennai,SMB
102,Santosh39,True,Bangalore,SMB
103,Naveen32,True,Bangalore,Retail
104,Ravi_NA,False,Mumbai,Retail
105,Venkatesh44,True,Pune,Corporate
106,Suresh33,True,Hyderabad,Retail
107,Naresh32,True,Mumbai,Corporate
108,Ravi53,True,Hyderabad,Corporate
109,Vijay_NA,False,Pune,SMB
110,Deepak_NA,False,Bangalore,SMB
111,Karthik_NA,False,Bangalore,SMB
112,Prakash_NA,False,Bangalore,Corporate
113,Venkatesh_NA,False,Bangalore,Corporate
114,Amit38,True,Bangalore,Retail
115,Mahesh42,True,Bangalore,Retail
116,Naresh_NA,False,Mumbai,Corporate
117,Naresh21,True,Pune,Corporate
118,Pavan62,True,Mumbai,Corporate
119,Karthik_NA,False,Chennai,Corporate
120,Naresh52,True,Pune,Retail
121,Prakash_NA,False,Hyderabad,Corporate
122,Amit_NA,False,Bangalore,Corporate
123,Vijay57,True,Pune,SMB
124,Pavan60,True,Hyderabad,SMB
125,Naresh_NA,False,Bangalore,Retail
126,Prakash_NA,False,Bangalore,Corporate
127,Amit_NA,False,Chennai,Corporate
128,Prakash_NA,False,Hyderabad,SMB
129,Manoj_NA,False,Bangalore,SMB
130,Kiran59,True,Hyderabad,Retail
131,Rahul19,True,Bangalore,Retail
132,Karthik60,True,Mumbai,Retail
133,Venkatesh_NA,False,Chennai,Retail
134,Santosh56,True,Bangalore,Corporate
135,Anil55,True,Chennai,SMB
136,Suresh43,True,Hyderabad,SMB
137,Mahesh_NA,False,Mumbai,Retail
138,Pavan_NA,False,Mumbai,Corporate
